i,j,lat,lon,RH;;;;
1;1;329.944;-119.942;73,23
1;2;329.944;-119.909;71,79
1;3;329.944;-119.877;69,99
1;4;329.944;-119.844;67,72
1;5;329.944;-119.812;65,77
1;6;329.944;-119,78;64,05
1;7;329.944;-119.747;62,78
1;8;329.944;-119.715;61,60
1;9;329.944;-119.682;60,78
1;10;329.944;-119,65;60,18
1;11;329.944;-119.617;60,28
1;12;329.944;-119.585;61,18
1;13;329.944;-119.552;63,07
1;14;329.944;-119,52;64,62
1;15;329.944;-119.487;65,88
1;16;329.944;-119.455;66,70
1;17;329.944;-119.422;67,38
1;18;329.944;-119,39;67,85
1;19;329.944;-119.358;68,10
1;20;329.944;-119.325;68,01
1;21;329.944;-119.293;67,30
1;22;329.944;-119,26;65,83
1;23;329.944;-119.228;66,19
1;24;329.944;-119.195;68,15
1;25;329.944;-119.163;72,16
1;26;329.944;-119,13;75,29
1;27;329.944;-119.098;77,88
1;28;329.944;-119.065;79,40
1;29;329.944;-119.033;81,30
1;30;329.944;-119;83,11
1;31;329.944;-118.968;85,04
1;32;329.944;-118.936;86,13
1;33;329.944;-118.903;86,12
1;34;329.944;-118.871;85,91
1;35;329.944;-118.838;85,93
1;36;329.944;-118.806;85,50
1;37;329.944;-118.773;85,26
1;38;329.944;-118.741;84,26
1;39;329.944;-118.708;82,97
1;40;329.944;-118.676;80,83
1;41;329.944;-118.643;79,85
1;42;329.944;-118.611;79,58
1;43;329.944;-118.579;79,46
1;44;329.944;-118.546;79,51
1;45;329.944;-118.514;78,97
1;46;329.944;-118.481;77,62
1;47;329.944;-118.449;77,47
1;48;329.944;-118.416;77,12
1;49;329.944;-118.384;78,34
1;50;329.944;-118.351;77,43
1;51;329.944;-118.319;76,34
1;52;329.944;-118.286;73,24
1;53;329.944;-118.254;70,97
1;54;329.944;-118.221;68,80
1;55;329.944;-118.189;66,89
1;56;329.944;-118.157;66,03
1;57;329.944;-118.124;66,18
1;58;329.944;-118.092;67,64
1;59;329.944;-118.059;67,28
1;60;329.944;-118.027;67,49
1;61;329.944;-117.994;68,18
1;62;329.944;-117.962;67,56
1;63;329.944;-117.929;67,34
1;64;329.944;-117.897;66,82
1;65;329.944;-117.864;66,96
1;66;329.944;-117.832;67,58
1;67;329.944;-117.799;68,82
1;68;329.944;-117.767;69,48
1;69;329.944;-117.735;69,59
1;70;329.944;-117.702;69,79
1;71;329.944;-117,67;69,93
1;72;329.944;-117.637;69,01
1;73;329.944;-117.605;67,46
1;74;329.944;-117.572;65,94
1;75;329.944;-117,54;64,45
1;76;329.944;-117.507;63,01
1;77;329.944;-117.475;61,94
1;78;329.944;-117.442;61,17
1;79;329.944;-117,41;60,49
1;80;329.944;-117.378;60,10
1;81;329.944;-117.345;58,89
1;82;329.944;-117.313;56,93
1;83;329.944;-117,28;55,20
1;84;329.944;-117.248;52,75
1;85;329.944;-117.215;49,76
1;86;329.944;-117.183;47,59
1;87;329.944;-117,15;45,87
1;88;329.944;-117.118;45,06
1;89;329.944;-117.085;43,36
1;90;329.944;-117.053;41,52
1;91;329.944;-117,02;38,79
1;92;329.944;-116.988;37,63
1;93;329.944;-116.956;36,95
1;94;329.944;-116.923;37,95
1;95;329.944;-116.891;36,52
1;96;329.944;-116.858;33,88
1;97;329.944;-116.826;29,53
1;98;329.944;-116.793;26,82
1;99;329.944;-116.761;25,07
2;1;330.216;-119.942;74,12
2;2;330.216;-119.909;72,68
2;3;330.216;-119.877;70,82
2;4;330.216;-119.844;68,39
2;5;330.216;-119.812;66,30
2;6;330.216;-119,78;64,42
2;7;330.216;-119.747;63,22
2;8;330.216;-119.715;62,07
2;9;330.216;-119.682;61,04
2;10;330.216;-119,65;59,96
2;11;330.216;-119.617;59,58
2;12;330.216;-119.585;60,35
2;13;330.216;-119.552;62,20
2;14;330.216;-119,52;63,71
